dataset,event_id,method,huber_delta_s,objective_s,relocated_rms_s,origin_shift_s,relocated_depth_km,delta_horizontal_km,delta_depth_km,depth_boundary
stratified32,SGC2020agjggo,HSSO-E,1.0,0.3505986006818589,0.3505986006818589,-0.8968398523240815,131.89841659255907,10.092713914651265,8.57841659255908,False
stratified32,SGC2026alqild,HSSO-E,1.0,0.2514884359726962,0.2514884359726962,1.7700423981684974,122.31653079990032,16.658237543016163,-14.153469200099678,False
stratified32,SGC2018hxdw,HSSO-E,1.0,0.4010435607804335,0.4010435607804335,-1.4986107455463955,149.88088112530264,8.145603124239766,17.44088112530264,False
stratified32,SGC2026cjxroc,HSSO-E,1.0,0.1605336356233951,0.1605336356233951,-0.1983009382421166,161.13281245043456,10.332775527844335,19.99999995043456,True
stratified32,SGC2023tnjthq,HSSO-E,1.0,0.2387747172351534,0.2387747172351534,-1.389186899020256,169.53,2.634742862781091,20.0,True
stratified32,SGC2024clkrqm,HSSO-E,1.0,0.1022307881983659,0.1022307881983659,-1.3278400220106938,170.3,6.090446481174844,20.0,True
stratified32,SGC2024bkjqkz,HSSO-E,1.0,0.3377427921254656,0.3377427921254656,-1.4383064707551796,170.91,4.6673596595767375,20.0,True
new30,SGC2023vzpirs,HSSO-E,1.0,0.4310353223130603,0.4310353223130603,-0.0158298757914767,45.73,11.034723664096727,20.000000000000004,True
new30,SGC2023tdymfy,HSSO-E,1.0,0.2060670216681697,0.2060670216681697,-0.8224326564407285,42.71521867245465,13.732072027544106,18.905218672454648,False
new30,SGC2023wlnqql,HSSO-E,1.0,0.0985250663395154,0.0985250663395154,-1.503675893460664,37.54609810583148,4.248814765424696,3.2060981058314724,False
new30,SGC2025qrozun,HSSO-E,1.0,0.1813909765462135,0.1813909765462135,-1.5150825787404507,39.63460917882528,4.803919579550942,5.514609178825282,False
new30,SGC2026boggwn,HSSO-E,1.0,0.1665381440259008,0.1665381440259008,-0.3335459457772298,62.57379350413152,19.61511854834756,17.703793504131525,False
new30,SGC2025pgzatv,HSSO-E,1.0,0.185868420789779,0.185868420789779,-0.9429028732327822,59.65866636284876,8.576941531929123,15.778666362848751,False
new30,SGC2025yxrhgz,HSSO-E,1.0,0.5307098694604858,0.5307312173714591,-0.142614628600052,31.5,6.187071826577473,-20.0,True
new30,SGC2023scytrc,HSSO-E,1.0,0.0720985021749935,0.0720985021749935,3.118741220240839,52.338804833507545,19.838813507610627,0.2684923335075453,False
new30,SGC2026baehdu,HSSO-E,1.0,0.4999585514357909,0.5014776582836541,1.7562303918499005,73.24537439456742,32.80866144496422,8.395374394567426,False
new30,SGC2025wvcvfj,HSSO-E,1.0,0.1395212234155728,0.1395212234155728,0.6105266358379815,75.39251675739114,31.001086378497146,7.752516757391135,False
new30,SGC2026afswai,HSSO-E,1.0,0.2050265257700827,0.2050265257700827,-0.1368447513434816,73.53018648471455,10.4855693142025,2.040186484714553,False
new30,SGC2025yymqxd,HSSO-E,1.0,0.3604434976921085,0.3604434976921085,0.0263113445766265,72.57723421948353,5.904882330113039,-5.612765780516469,False
new30,SGC2025xyrfux,HSSO-E,1.0,0.1976586123158977,0.1976586123158977,1.8087461072146205,78.50855646756797,30.46222989998596,-5.821443532432028,False
new30,SGC2026cmuvbi,HSSO-E,1.0,0.145896341338569,0.145896341338569,0.558924339520452,94.94077131032115,27.744489362998326,8.610771310321155,False
new30,SGC2026asvptr,HSSO-E,1.0,0.2086506156109048,0.2086506156109048,-2.013695566385977,117.57336134894337,4.041202275547783,18.513361348943363,False
new30,SGC2026arcexx,HSSO-E,1.0,0.2821015636093905,0.2821015636093905,-2.2770435255915693,110.0,10.506313679333177,20.0,True
new30,SGC2026apmkrl,HSSO-E,1.0,0.1298560563266216,0.1298560563266216,-1.0843318707191134,118.10153920921437,6.815629048846464,10.61153920921437,False
new30,SGC2025yuczzx,HSSO-E,1.0,0.1678410050965949,0.1678410050965949,-1.6825011055668426,115.84723250026474,0.8382634303100998,11.397232500264735,False
new30,SGC2025zqwcsx,HSSO-E,1.0,0.1404524433751108,0.1404524433751108,-1.3969629473284737,132.93403067858696,5.666785713540495,15.014030678586964,False
new30,SGC2025kgeyrg,HSSO-E,1.0,0.1944887612145437,0.1944887612145437,-1.9842080169927687,137.39,5.155498494148442,19.999999999999982,True
new30,SGC2022obwjqd,HSSO-E,1.0,0.1297513659551841,0.1297513659551841,-2.103339419211263,146.14128729771934,3.864252045516296,19.24128729771934,False
new30,SGC2022mvfomu,HSSO-E,1.0,0.1061599681981239,0.1061599681981239,-1.0986696711424615,140.35939992760072,7.106219753242634,11.83939992760071,False
new30,SGC2022hytacc,HSSO-E,1.0,0.1854976549432365,0.1854976549432365,-1.4555911040187013,155.0197556741059,12.478030132945824,16.899755674105904,False
new30,SGC2024shqvfe,HSSO-E,1.0,0.2158270616439847,0.2158270616439847,2.749985343262642,119.57,19.182072070546276,-20.0,True
new30,SGC2025ycdafx,HSSO-E,1.0,0.2398172919654277,0.2398172919654277,-0.2305648777845554,163.2421875,11.713172128495447,20.0,True
new30,SGC2025yshmnq,HSSO-E,1.0,0.3764781164016997,0.3764781164016997,2.2804246619582784,120.25,19.997132129226117,-20.0,True
new30,SGC2024lyrntx,HSSO-E,1.0,0.2885868086726761,0.2885868086726761,-1.6899638058390796,170.14,0.6178185761513512,20.0,True
new30,SGC2025xyndwy,HSSO-E,1.0,0.5587090904990405,0.5616522489899112,1.6813485320087516,140.00000000234368,9.956386444674417,-11.729999997656307,False
new30,SGC2024tcjfvv,HSSO-E,1.0,0.0170249352377744,0.0170249352377744,0.7842304645691787,162.10301100984907,14.296656067720663,0.5530110098490582,False
new30,SGC2026akeapz,HSSO-E,1.0,0.2222535088599962,0.2222535088599962,2.2542564944716545,117.94,21.92688671193332,-20.0,True
stratified32,SGC2019nhquk,HSSO-E,0.5,0.5161955067269474,0.6096484468520131,-1.7312501350853307,16.967376248551357,5.179169990821708,7.187376248551358,False
stratified32,SGC2019ioilw,HSSO-E,0.5,0.39655900920280507,0.4107919623173145,-1.711653088190289,6.728217366588415,3.049579745483543,5.5682173665884145,False
stratified32,SGC2019qdhsi,HSSO-E,0.5,0.48755415579039046,0.5520944535496359,-1.3965506447143605,28.894869543964685,2.8106587126473106,10.764869543964686,False
stratified32,SGC2019wccpcd,HSSO-E,0.5,0.5315824033883826,0.5985609669275427,-1.649916703417933,10.000000002871346,3.0701564097606737,-9.879999997128653,False
stratified32,SGC2019tgdbei,HSSO-E,0.5,0.3425126060271463,0.3502682045422545,-0.881871007897657,21.118171264103772,4.5681844801864955,-6.881828735896228,False
stratified32,SGC2019wbptlu,HSSO-E,0.5,0.3371294683176468,0.3413575021391419,-1.3556845077669015,29.999999998018737,2.5191067753177934,1.4599999980187377,False
stratified32,SGC2019mwyzm,HSSO-E,0.5,0.3374821194977393,0.339335153718035,-1.2486905362513063,35.510057248489126,3.247297708960737,1.6700572484891225,False
stratified32,SGC2022luluqb,HSSO-E,0.5,0.16452232174764625,0.16452232174764625,-0.5763115301819344,25.60756856961319,7.20247452856667,-5.972431430386809,False
stratified32,SGC2018uupq,HSSO-E,0.5,0.2948349737694838,0.2948349737694838,-1.6229623710416936,67.76304989819754,9.621403789338402,17.923049898197533,False
stratified32,SGC2019uqtpny,HSSO-E,0.5,0.42192379407643593,0.5385028163077465,-1.7854025386277517,66.28174848267794,3.3510755677805806,19.511748482677937,False
stratified32,SGC2022pdaiuz,HSSO-E,0.5,0.7657439138631712,1.3771003282631238,-0.6367136077846807,75.52000000000001,27.35804732569699,20.000000000000007,True
