dataset,event_id,method,seed,evaluations,optimizer_elapsed_s,n_stations,sgc_lat,sgc_lon,sgc_depth_km,relocated_lat,relocated_lon,relocated_depth_km,origin_shift_s,sgc_model_rms_s,relocated_rms_s,huber_objective_s,rms_reduction_s,delta_horizontal_km,delta_depth_km,depth_lower_km,depth_upper_km,depth_boundary,large_horizontal_shift,large_vertical_shift
new30,SGC2025yymqxd,LPSO,662568101,9030,0.9545406000688672,7,7.077666667,-74.04,78.19,7.024631939500304,-74.03898938873263,72.57723417127374,0.026311327209842972,0.48820692838909135,0.3604434976921125,0.3604434976921125,0.12776343069697887,5.904881743208708,-5.612765828726253,58.19,98.19,False,False,False
new30,SGC2025yymqxd,HSSO-no-helix,662568101,9030,1.2270305999554694,7,7.077666667,-74.04,78.19,7.024631932564052,-74.03898938491926,72.57723378333058,0.026311381003040424,0.48820692838909135,0.36044349769210887,0.36044349769210887,0.12776343069698248,5.904882523181845,-5.612766216669414,58.19,98.19,False,False,False
new30,SGC2025yymqxd,HSSO-E,662568101,9030,1.4641366000287235,7,7.077666667,-74.04,78.19,7.024631934268926,-74.03898938650642,72.57723421948353,0.02631134457662654,0.48820692838909135,0.36044349769210854,0.36044349769210854,0.12776343069698282,5.904882330113039,-5.612765780516469,58.19,98.19,False,False,False
new30,SGC2025xyrfux,PSO,1591606794,9030,0.8437995999120176,8,7.556833333,-73.98116667,84.33,7.294633721903386,-73.90226321675368,78.50855689561878,1.808746113319767,0.8323650602291679,0.1976586123158972,0.1976586123158972,0.6347064479132707,30.462230394779464,-5.821443104381217,64.33,104.33,False,True,False
new30,SGC2025xyrfux,LPSO,1591606794,9030,1.672971600200981,8,7.556833333,-73.98116667,84.33,7.294633726002928,-73.90226321910761,78.50855535627092,1.808746152576422,0.8323650602291679,0.19765861231589013,0.19765861231589013,0.6347064479132778,30.46222988307214,-5.82144464372908,64.33,104.33,False,True,False
new30,SGC2025xyrfux,HSSO-no-helix,1591606794,9030,1.4306211001239717,8,7.556833333,-73.98116667,84.33,7.294633728063971,-73.90226322574705,78.50855436169402,1.8087461771780067,0.8323650602291679,0.19765861231589624,0.19765861231589624,0.6347064479132717,30.46222945328507,-5.821445638305974,64.33,104.33,False,True,False
new30,SGC2025xyrfux,HSSO-E,1591606794,9030,1.4646800998598337,8,7.556833333,-73.98116667,84.33,7.294633724669324,-73.90226322307117,78.50855646756797,1.8087461072146205,0.8323650602291679,0.19765861231589774,0.19765861231589774,0.6347064479132701,30.46222989998596,-5.821443532432028,64.33,104.33,False,True,False
new30,SGC2026cmuvbi,PSO,2150127604,9030,1.0614871997386217,8,7.6555,-73.80266667,86.33,7.408524914023742,-73.76895162146839,94.94077133530347,0.5589243543030253,0.7393180264094684,0.14589634133856894,0.14589634133856894,0.5934216850708995,27.74448955211177,8.610771335303468,66.33,106.33,False,True,False
new30,SGC2026cmuvbi,LPSO,2150127604,9030,1.276088499929756,8,7.6555,-73.80266667,86.33,7.408524920042094,-73.7689516244169,94.94077157511282,0.5589242782014772,0.7393180264094684,0.1458963413385684,0.1458963413385684,0.5934216850709,27.744488844473214,8.610771575112821,66.33,106.33,False,True,False
new30,SGC2026cmuvbi,HSSO-no-helix,2150127604,9030,1.358468999620527,8,7.6555,-73.80266667,86.33,7.408524912210321,-73.76895162303158,94.94076941424134,0.5589245154165043,0.7393180264094684,0.1458963413385757,0.1458963413385757,0.5934216850708927,27.74448972896327,8.610769414241346,66.33,106.33,False,True,False
